node_id,job_id,subjob_id,worker_count,subjob_throughput
157.148.101.187:58420,f6f76215-da14-4f20-872c-8a890bf9aaad,bafa95e1-0d90-4f71-aa04-0e1ea092462e,8.0,58886774.554301605
157.148.101.187:58420,f6f76215-da14-4f20-872c-8a890bf9aaad,879d1cb2-9800-4663-a9b6-4aa27d92815a,10.0,49999034.17799313
157.148.101.187:58420,45211aa4-334d-4511-a2d5-64dd635af558,7740ad43-21c7-464e-b7f9-fcd63e3621d8,1.0,15803707.761868877
157.148.101.187:58420,45211aa4-334d-4511-a2d5-64dd635af558,bdf27886-2456-4282-9e3d-f02f911d58d8,8.0,49689706.548377104
157.148.101.187:58420,45211aa4-334d-4511-a2d5-64dd635af558,853a7f44-64ed-4e31-8a47-80cb2c366ede,10.0,50207377.94377043
125.67.244.19:7777,4ebc1977-6ca6-4ca8-9f75-ed2c0c39c5e4,a192ef38-c4d5-4603-a760-4fe8e91ed922,1.0,3840093.788910862
125.67.244.19:7777,4ebc1977-6ca6-4ca8-9f75-ed2c0c39c5e4,12b6557c-e473-40d7-ade5-d3367a0aa177,8.0,22382013.907967824
125.67.244.19:7777,4ebc1977-6ca6-4ca8-9f75-ed2c0c39c5e4,47e9c760-e666-4bc5-af42-1738748f8da5,10.0,19668659.745895766
125.67.244.19:7777,489bc355-c5fa-4b1a-9b68-9192073d4a73,95c4cf1e-bcef-4741-975e-695f98ee60d1,1.0,4600430.000438731
125.67.244.19:7777,489bc355-c5fa-4b1a-9b68-9192073d4a73,3080b738-1c85-4c6c-809b-be45244f8ba5,8.0,26405762.737324808
125.67.244.19:7777,489bc355-c5fa-4b1a-9b68-9192073d4a73,0296a273-bc4e-4992-8ad1-1fdc086001e3,10.0,27202320.36540333
125.67.244.19:7777,ec0779ba-08d3-4e1d-91df-237d310273c6,afed5747-f08f-4eac-ad96-6b077ed5d7dc,1.0,2153310.3540331856
125.67.244.19:7777,ec0779ba-08d3-4e1d-91df-237d310273c6,8cddc791-66ca-4ef9-83b2-a3893496efdd,8.0,16264159.523162192
125.67.244.19:7777,ec0779ba-08d3-4e1d-91df-237d310273c6,2bcc34d1-4ce0-42b4-ba37-a93ba7b1f881,10.0,19898941.27154566
122.114.2.214:7777,852e3844-8682-4864-8743-eb6cae0cbf31,4332d13b-86ad-4d68-9460-3d2498a766ad,1.0,8523622.256543651
122.114.2.214:7777,852e3844-8682-4864-8743-eb6cae0cbf31,61961d34-5b1d-417d-bc3a-d2f9f5cf45d9,8.0,16226647.432048118
122.114.2.214:7777,852e3844-8682-4864-8743-eb6cae0cbf31,20974f9e-030d-402b-9e9f-49753a82ed3b,10.0,15527176.389178649
122.114.2.214:7777,c204528f-31a3-4f5c-a142-30632e18affc,9aedf7f8-e0be-4459-b2ae-5acd414696b8,1.0,10042869.552724835
122.114.2.214:7777,c204528f-31a3-4f5c-a142-30632e18affc,517f317f-7108-48be-99a6-78118eb16adb,8.0,16218387.035443868
122.114.2.214:7777,c204528f-31a3-4f5c-a142-30632e18affc,34820c9a-83fe-41b1-9498-00c0e5958382,10.0,13545802.77570185
122.114.2.214:7777,29794b4c-5d60-46aa-a491-2edfb1c23ead,dee3e350-1c08-4150-b67a-062a1a19462c,1.0,17027866.35271192
122.114.2.214:7777,29794b4c-5d60-46aa-a491-2edfb1c23ead,160543cb-51ef-4ac9-b61a-754451a72ad7,8.0,13616495.211770384
122.114.2.214:7777,29794b4c-5d60-46aa-a491-2edfb1c23ead,f29e8aee-381f-4744-a0a1-39014c6c5e66,10.0,14410742.048989162
222.74.153.82:7777,63ca3798-7166-4b9c-8859-ae752135a259,20df1720-4440-400e-8515-22ad2d239b43,1.0,3439307.301233272
222.74.153.82:7777,63ca3798-7166-4b9c-8859-ae752135a259,7d081531-e10c-4046-887b-c16f904fa491,8.0,11370534.334971279
