id,total_bytes,elapsed_seconds
5557ac57-e218-4fe4-ab88-d2427a8c1e36,32299884,60.173
1d4904ce-c854-45bc-a9cb-a4111fd954d3,22033564,61.512
82bef855-998a-4d7d-91c2-a02d572be037,1665996,1.895551
9f89a1dc-139f-4e79-aa1c-79a7cefd3c9a,21064852,1.82605
7662125c-57c0-4c0f-a696-c8dda81ad2b7,75794908,26.880831
9f342142-275c-498d-9b47-8f953ec3b8bf,52059292,19.116732
10619138-f294-420b-b387-1f510da29e5a,12729052,60.035
e547b5a3-63ef-4ae0-a2a0-939feed488be,11747932,60.06
ab66b178-317a-43bd-b6da-70da8fe155b9,11902692,59.232877
8019c4c1-f562-43f0-8f0a-9e04f6da43b7,10431012,58.487221
f7186b93-98e9-4410-9266-3e83342eaeca,44948632,6.376076
9ed2a16d-c4d3-409c-b7b1-8679a5b01a3e,27372342,2.657531
780b06a6-6c35-45c9-b42a-fdb449a029be,56471688,5.96059
e44cfb32-b886-48dd-b920-c989cb71fa91,53323396,8.672305
a10c50d0-6b2a-4d16-8ba4-dc9eb0774c46,613550,51.51873
64806bf6-10e9-4b3b-bfc4-68b0eeeb3cd4,1082454,58.463811
e416f307-c56a-4b24-917b-71c342a68f6b,691492,58.174596
6790e508-ecdb-4e1d-b59c-01abd3086403,477188,43.19725
198bbd0b-afe9-41b9-a714-09d8f773b30a,58120622,27.621798
530ab850-70c0-4a33-819c-c638477bb3f3,49196598,26.534596
0a24427b-64cc-43b0-b525-529cce258e6c,45101652,42.723041
c40033dd-289e-4e79-b0a4-e4fd62a8da97,45194324,38.859516
22b23c8d-cf13-44c6-99c0-f6da535d7c30,69888240,10.326673
23877fa4-56b9-4043-aa3e-1d52c266a0fa,81402304,8.576847
6eb93c38-c3fb-432a-a232-93207240f77c,12371060,1.99235
a86e3979-8f37-4d4f-92ae-8969d2056fbc,27748820,3.222963
d5fab82d-4423-45e6-bdba-aea92cbf7832,11661540,2.265824
db0ccf59-602c-45bc-8a49-4a334853400c,25249572,2.556204
f856950a-93b7-443f-8e06-7e1088e04376,64810280,8.458095
c46680d9-7db6-4cf7-9710-5fee077e33e0,87107912,8.581496
517b14a6-e014-49e5-815b-9aee535c6f3c,23645190,60.069
210c79e9-f8db-48a7-ad72-414605ca7f90,25821534,60.765
1a3761e3-991c-41ae-8d59-7e06104019b4,701630,57.725195
300af3e0-149b-4b05-804c-141a221e22ad,946342,50.191079
60402fe5-d6a8-4746-971a-8ce846c1f126,3613556,1.685959
75c26e75-ee0d-448b-afa0-52a856f2ad5f,19205620,2.239286
57d0cb1e-cda7-4851-8a62-b7662ec2002e,9796516,1.873727
544c0676-3d35-4521-9213-f200d01f6ab6,14463420,2.143211
b8bb508b-2fe0-44c6-8f94-bb857430e028,14589398,60.15
eb7857d4-48b8-4f33-b44d-45b4814cfd34,21274814,61.032
7772fb98-9d0e-4fd5-8913-6e60d0b9c8db,743622,58.864616
ef30abd9-8e8d-421d-bdb7-6e62b2450206,478638,56.841235
b88d8755-2b06-4a79-a4f3-1d772164f374,567214,58.815842
e427bc71-33e2-4342-8683-52bc508573e0,794300,58.420623
88909834-c2f6-4070-bfb2-987725d5c101,952136,56.543987
312a0365-7d2b-45f0-add0-11c4a0e7a22c,662536,54.754735
5d8af224-0d10-405b-a134-8635bd3e5d4d,645158,57.952878
a14f7205-7557-412a-bdee-93ddf94c114d,855118,57.502305
750378f3-3e06-485d-8a2c-8fe16a9f1f84,591580,57.406177
0b063801-4312-4ae8-83dd-e317702afbcf,818916,56.886514
dd144e66-a450-441f-88e6-2403277bccba,74962608,6.668275
ce53945e-0bf2-44b2-a525-929291efb570,95177248,8.996
7b912d1b-5b3b-4fad-89e5-adc5ffdcb4a8,13481678,2.740649
60c2f62d-5c74-49bf-97cb-d19f1d318c0b,42401134,3.502903
c5b4f757-4e3d-4bf5-9392-ff798c5de974,49675144,8.657325
bb3e9226-f97d-4df5-8ed5-6e6b85816b91,84917536,8.635169
f0dc35a3-4e0d-4b5f-91a9-46388d113690,23978230,2.927365
d186de20-a4da-4369-9864-3646ff421db6,29508142,3.25744
882d53dd-4589-41d3-bc7a-179557a6db3c,21589028,61.341
f956fe34-1c6d-49b8-add7-ad96dbbc6704,20064284,60.0
ba69ad08-aa04-4401-9b76-53768b15554a,12182822,15.57958
5a0c7500-f8d9-4fc2-b4aa-6417ad27ae1b,7644790,16.070299
5509c73a-583c-4db9-8bc0-bbf2a97bd30a,1905652,77.657
5fb9e803-0031-43c0-a2c4-9a251333eab3,375828,41.700337
b64e9450-e294-4bd6-a13c-17545105f102,25504420,20.218153
853eab54-9593-4467-91e7-1cd895cff0bf,12524548,22.394649
d5fa4f27-abd8-4a27-a8a8-61d50eb8ec3f,5045630,9.899079
95649ddf-e6d1-433c-a1be-b5bfd0a5e0ad,6379238,6.305463
fa8e7d91-f803-4f66-9844-492453bb183e,15526,105.248
38f82f7a-4230-47b8-a84e-266bb4c09998,267478,55.952607
0dda668f-7681-4e7a-af57-caafca5f69b6,633574,55.282491
5dd2076f-224e-429a-bacc-38dcf541701e,671222,59.119763
804d4927-32b9-401f-8343-eee21adabd31,7017806,8.937425
880f65ae-7f5a-4741-8ad5-e254c23c987b,6125838,8.657435
84b03ce9-eb8e-4041-9e9e-d98b72757f20,3615006,5.434043
17d14387-f757-4734-9211-5c9c08567a27,7004774,4.946128
c6c6149a-decf-41f2-a962-2027d9f62b02,436892,85.564
316fb96f-c43e-43e7-bbaf-d853c61f41c1,164420,69.975
651ad2dd-5862-4bc5-bf0b-8d9aebcb570e,687150,60.83
e8fe9bdf-6c63-4e7c-afa2-d69cd043ba7e,972406,56.979
c1cf686f-a822-4676-8227-2e8f33d70c33,5590076,6.83155
90b9640b-e12c-41a1-978e-d2f488bf82a3,18086316,7.601617
0890c051-ba3b-4b3a-9bdf-41fcc88c743c,598820,67.455
5baf384c-dfa8-4f82-a412-001ee0637d84,833396,58.355967
5cd429dc-5cab-44d9-a6dc-7449907878e2,528118,65.299
19765f0e-cb5e-4c73-8dde-e1c419eb8d84,371734,53.03454
4dc5f42f-8962-4831-a828-b021123d7b02,625134,51.535066
83590a9f-1097-4efd-be32-8e97ea6197ca,444134,59.536313
ae467b13-6d06-4b14-8553-6f1276d3acc6,577350,57.181728
39c39f47-c73d-4d2a-9751-a63ea8e105c4,811926,58.341002
90dcd4ed-2387-43a4-9bcb-25d676c8ed0e,12539030,61.167
d0ab0afb-6737-4be4-9dd7-cdf2fdc7027b,14598086,60.016
19e0ce5e-afea-43e8-86c6-2626302371c0,24993052,60.031
681fbd29-b6f8-4324-aadc-58cde4703b07,24832452,60.03
eca3a3be-aa12-4de0-96dc-8036c011cf50,57123141,4.174346
91054405-330d-4f3d-b648-b8ee64527891,10656082,4.131036
03b9a246-32ef-4d0e-951c-418ecf2850ed,51542549,15.98334
6436bbc6-8cb3-455b-9fc5-b0e7a932c08f,84025533,15.861772
4083e653-1fcc-40c4-8a71-9f9a12d0287c,54803274,9.344689
16c29ef3-f51c-4c8b-a726-32e0bd8de72e,62680565,16.809943
21623201-f500-42af-8b23-7e03c641176e,87105429,9.595166
4b1335a8-ea18-4722-976c-eb6d5b59109b,61763981,9.37447
dc5d74a1-906f-42f1-a978-12830e9f215e,84260514,4.989
1bfbdcc8-25ec-4989-a764-172d5792eb49,21595013,4.23938
db123cc5-2452-4184-8904-dacb535c397f,46598877,7.71548
e1800760-4ea8-493d-ae08-d557ae5128df,85434437,15.978403
c40afbb4-0293-491b-b2b4-6cc57abba68b,75642188,7.530598
a686db8a-50cc-4775-8295-e79df5e312e3,21665967,8.991913
c2d64a94-f1f1-4f90-88ed-06a5d19ee940,16641405,4.373215
b003ece1-ff38-48f8-84f6-0cac153b5bcd,29330229,3.409199
ff98f515-293e-453e-841c-2b3e5adda780,29298375,11.687194
edb86760-ae45-42c4-8f27-4dc60dfe4dc6,32307319,8.508262
227632d6-329d-4776-a810-a1d83d25f8df,553934,59.728929
05d0a4cf-b8f5-4a5d-8036-19f2630e47b0,659638,61.299
16dcbb2a-03ef-4ae8-9195-8e2bf6299f8f,71839169,3.968468
0d68e0f4-0fb0-47af-9444-240532ea6a05,42127657,4.355907
7bfa9347-e2a1-4a75-b067-6399346ffd21,33613508,42.225791
a40ae954-9fb9-436c-974e-a370148900ff,70474360,55.933726
cab055bc-39d4-40a0-a59f-d34e3a3f2359,27202926,51.904121
3f294494-3fe7-47fd-8f2a-f15a536fc8da,59669982,47.261674
96cfedb9-626e-4c3e-bb32-75d5016a8769,63003278,60.003
09f62e91-9705-464e-820b-827ac9983032,39871478,53.370478
d72f2eac-0e00-4459-b0f1-dc3df3a3137e,68670092,60.019
5cd6f07f-4f8f-4000-95e1-d118a119392b,71063372,60.007
02844f7a-7290-49ee-9809-c0b6af6c8ae5,67680812,60.009
f96b3600-8b22-41c9-bf56-2483e33ec301,55204652,60.01
