sub_job_id,mean_bps,max_bps,median_bps,p90_max_bps
65de365a-da58-4b2d-b2c0-695695c558ec,123996399.58035432,156909568.0,127770624.0,142163968.0
6737d374-5add-40d1-8d72-cf8c916e71c6,37564177.770758614,64270656.0,38264787.0,50436099.0
6790e508-ecdb-4e1d-b59c-01abd3086403,167784.19555397888,696984.0,128872.0,314216.0
6eb93c38-c3fb-432a-a232-93207240f77c,291946826.44512486,371642392.0,215612968.0,225496992.0
71db46de-5f75-43c5-8747-02ed9e2e32d2,7233730.0534483185,12545696.0,7063624.0,10419256.0
750378f3-3e06-485d-8a2c-8fe16a9f1f84,136947.6664920466,519672.0,117288.0,240368.0
75c26e75-ee0d-448b-afa0-52a856f2ad5f,294953914.14986193,330131764.0,225281686.0,229107700.0
7619e754-3cd6-438e-8f04-7b202b2dd570,0.0,0.0,0.0,0.0
76878b9a-35a4-44dd-9197-e13383ccbcad,34101195.82094905,54509568.0,32915456.0,40861696.0
7772fb98-9d0e-4fd5-8913-6e60d0b9c8db,130397.05023094639,526268.0,109324.0,237432.0
77944449-4aec-41b4-aecd-dff8bc91b7ee,6743319.095210308,13722128.0,6128260.0,11095856.0
780b06a6-6c35-45c9-b42a-fdb449a029be,118714725.10500468,154656328.0,128912860.0,151873692.0
7b912d1b-5b3b-4fad-89e5-adc5ffdcb4a8,274228388.63776815,365126266.0,215982856.0,241160504.0
7bfa9347-e2a1-4a75-b067-6399346ffd21,12801064.547563879,24599528.0,12484656.0,17132072.0
7dfed73d-1ab0-4755-8e55-3c6dc114de9e,86001.8593175452,335480.0,111496.0,218244.0
8019c4c1-f562-43f0-8f0a-9e04f6da43b7,1795281.161838858,3148164.0,1747012.0,2391240.0
804d4927-32b9-401f-8343-eee21adabd31,52519930.847710595,94005608.0,45921872.0,73472968.0
82bef855-998a-4d7d-91c2-a02d572be037,280001830.6151333,370315888.0,192313446.0,210537472.0
83590a9f-1097-4efd-be32-8e97ea6197ca,130826.251303316,1779094.0,114275.0,328696.0
853eab54-9593-4467-91e7-1cd895cff0bf,34639269.05443798,66855980.0,33546540.0,46629600.0
86f236b8-bf65-47be-aa7d-f5ba8c6f66b7,2024716.5965636857,3873864.0,1992170.0,2917892.0
880f65ae-7f5a-4741-8ad5-e254c23c987b,51540100.63704298,86990770.0,44722204.0,71729178.0
882d53dd-4589-41d3-bc7a-179557a6db3c,2981222.1482947636,10499032.0,2922064.0,5344568.0
88909834-c2f6-4070-bfb2-987725d5c101,135571.9048968359,507072.0,124528.0,238840.0
8a195fa0-d38d-4abc-85e2-ba85d7063007,7839607.370496481,15126816.0,7700104.0,10937432.0
8ef4a069-c736-447d-bf20-d4f1dcb380fd,48695548.28784925,114688000.0,43466522.5,79773696.0
